OBJECTID,FRANODEID,COUNTRY,STATE,STFIPS,CTYFIPS,STCYFIPS,FRADISTRCT,PASSNGR,PASSNGRSTN,BNDRY,x,y
244439,495274,US,MA,25.0,9.0,25009.0,1,C,Montserrat,0.0,-70.8686139352759,42.5623516664557
244440,495275,US,MA,25.0,23.0,25023.0,1,C,Nantasket Junction,0.0,-70.8682155567019,42.2449875795523
244448,495282,US,MA,25.0,9.0,25009.0,1,C,Rowley,0.0,-70.8591277420452,42.7271697443726
244456,495287,US,MA,25.0,9.0,25009.0,1,C,Ipswich,0.0,-70.8405704176694,42.6770363083281
244460,497499,US,MA,25.0,21.0,25021.0,1,C,Cohasset,0.0,-70.837556597739,42.2442465613715
244464,495295,US,MA,25.0,9.0,25009.0,1,C,Prides Crossing,0.0,-70.8255577331153,42.5594351742721
244466,495297,US,MA,25.0,23.0,25023.0,1,C,Halifax,0.0,-70.8240595543255,42.0146507223007
244470,495301,US,MA,25.0,9.0,25009.0,1,C,Beverly Farms,0.0,-70.8113444620275,42.561631610103
244488,495319,US,MA,25.0,23.0,25023.0,1,C,North Scituate,0.0,-70.7884457622416,42.2194367759339
244494,495324,US,MA,25.0,9.0,25009.0,1,C,Manchester,0.0,-70.7690884997834,42.5740379222337
244511,495341,US,MA,25.0,23.0,25023.0,1,C,Greenbush,0.0,-70.7465839052856,42.1782253448689
244519,495348,US,MA,25.0,23.0,25023.0,1,C,Kingston,0.0,-70.7226039995119,41.9770565269421
244525,495351,US,MA,25.0,9.0,25009.0,1,C,West Gloucester,0.0,-70.705495727758,42.611934596203
244529,495353,US,MA,25.0,23.0,25023.0,1,C,Plymouth,0.0,-70.6904046274662,41.9812710646525
244540,495360,US,MA,25.0,9.0,25009.0,1,C,Gloucester,0.0,-70.6671723230281,42.6166086762907
244568,495384,US,ME,23.0,31.0,23031.0,1,A,Wells,0.0,-70.6094892905758,43.3208619935763
244639,495443,US,ME,23.0,31.0,23031.0,1,A,Saco,0.0,-70.4567057449559,43.4966952882114
244666,495468,US,ME,23.0,31.0,23031.0,1,A,Old Orchard Beach,0.0,-70.3747580865989,43.5160272932377
244832,495631,US,ME,23.0,5.0,23005.0,1,A,Portland,0.0,-70.2856063708546,43.6505016587949
245013,495761,US,ME,23.0,5.0,23005.0,1,A,Freeport,0.0,-70.099824417015,43.8576999492761
